section,title,description
208,BNS Section 208 - Non-attendance in obedience to an order from public servant.,"B.N.S 208, Non-attendance in obedience to an order from public servant."
207,"BNS Section 207 - Preventing service of summons or other proceeding, or preventing publication thereof.","B.N.S 207, Preventing service of summons or other proceeding, or preventing publication thereof."
210,BNS Section 210 - Omission to produce document or electronic record to public servant by person legally bound to produce it.,"B.N.S 210, Omission to produce document or electronic record to public servant by person legally bound to produce it."
211,BNS Section 211 - Omission to give notice or information to public servant by person legally bound to give it.,"B.N.S 211, Omission to give notice or information to public servant by person legally bound to give it."
212,BNS Section 212 - Furnishing false information.,"B.N.S 212, Furnishing false information."
213,BNS Section 213 - Refusing oath or affirmation when duly required by public servant to make it.,"B.N.S 213, Refusing oath or affirmation when duly required by public servant to make it."
214,BNS Section 214 - Refusing to answer public servant authorised to question.,"B.N.S 214, Refusing to answer public servant authorised to question."
215,BNS Section 215 - Refusing to sign statement.,"B.N.S 215, Refusing to sign statement."
216,BNS Section 216 - False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.,"B.N.S 216, False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation."
219,BNS Section 219 - Obstructing sale of property offered for sale by authority of public servant.,"B.N.S 219, Obstructing sale of property offered for sale by authority of public servant."
218,BNS Section 218 - Resistance to the taking of property by the lawful authority of a public servant.,"B.N.S 218, Resistance to the taking of property by the lawful authority of a public servant."
217,"BNS Section 217 - False information, with intent to cause public servant to use his lawful power to the injury of another person.","B.N.S 217, False information, with intent to cause public servant to use his lawful power to the injury of another person."
222,BNS Section 222 - Omission to assist public servant when bound by law to give assistance.,"B.N.S 222, Omission to assist public servant when bound by law to give assistance."
221,BNS Section 221 - Obstructing public servant in discharge of public functions.,"B.N.S 221, Obstructing public servant in discharge of public functions."
220,BNS Section 220 - Illegal purchase or bid for property offered for sale by authority of public servant.,"B.N.S 220, Illegal purchase or bid for property offered for sale by authority of public servant."
223,BNS Section 223 - Disobedience to order duly promulgated by public servant.,"B.N.S 223, Disobedience to order duly promulgated by public servant."
225,BNS Section 225 - Threat of injury to induce person to refrain from applying for protection to public servant.,"B.N.S 225, Threat of injury to induce person to refrain from applying for protection to public servant."
224,BNS Section 224 - Threat of injury to public servant.,"B.N.S 224, Threat of injury to public servant."
228,BNS Section 228 - Fabricating false evidence.,"B.N.S 228, Fabricating false evidence."
229,BNS Section 229 - Punishment for false evidence.,"B.N.S 229, Punishment for false evidence."
227,BNS Section 227 - Giving false evidence.,"B.N.S 227, Giving false evidence."
226,BNS Section 226 - Attempt to commit suicide to compel or restraint exercise of lawful power.,"B.N.S 226, Attempt to commit suicide to compel or restraint exercise of lawful power."
230,BNS Section 230 - Giving or fabricating false evidence with intent to procure conviction of capital offence.,"B.N.S 230, Giving or fabricating false evidence with intent to procure conviction of capital offence."
232,BNS Section 232 - Threatening any person to give false evidence.,"B.N.S 232, Threatening any person to give false evidence."
233,BNS Section 233 - Using evidence known to be false.,"B.N.S 233, Using evidence known to be false."
